application_id,user_id,offer_month,offer_number,current_lender,current_balance,current_monthly_payment,current_remaining_term_months,current_total_left_to_pay,offer_apr,offer_term_months,offer_monthly_payment,offer_total_payable,monthly_saving,total_cost_saving
A018112,U112676,2026-03,1,,2589.79,168.75,20,3375.09,19.5,21,146.55,3077.54,22.2,297.54
A018113,U100513,2026-03,4,,14385.46,1161.86,15,17427.94,19.6,12,1329.84,15958.05,-167.97,1469.89
A018114,U108639,2026-03,2,,11577.86,339.41,51,17309.78,14.0,36,395.7,14245.34,-56.3,3064.44
A018115,U104416,2026-03,3,,3595.47,340.51,12,4086.1,21.0,37,132.83,4914.56,207.68,-828.46
A018116,U100704,2026-03,4,,7579.89,617.33,14,8642.69,15.1,20,431.05,8621.0,186.28,21.69
A018117,U110385,2026-03,1,,3803.44,271.87,16,4349.94,11.0,15,272.55,4088.3,-0.68,261.64
A018118,U103131,2026-03,4,,5897.64,248.19,30,7445.76,15.9,48,166.84,8008.27,81.35,-562.51
A018119,U102044,2026-03,4,,1770.97,313.94,6,1883.67,11.7,12,157.1,1885.2,156.84,-1.53
A018120,U100984,2026-03,4,,6978.02,644.65,13,8380.5,19.1,17,471.74,8019.66,172.91,360.84
A018121,U112114,2026-03,1,Lender C,13039.73,404.19,52,21017.85,18.9,43,419.73,18048.57,-15.54,2969.28
A018122,U100060,2026-03,4,,6850.34,262.73,38,9983.58,17.2,28,298.75,8365.01,-36.02,1618.57
A018123,U101388,2026-03,4,,7722.91,243.91,55,13415.17,16.2,53,204.95,10862.34,38.96,2552.83
A018124,U106910,2026-03,2,,3322.36,366.01,10,3660.07,13.2,12,297.06,3564.67,68.95,95.4
A018125,U109764,2026-03,2,,6307.19,989.89,7,6929.23,19.6,12,583.06,6996.68,406.83,-67.44
A018126,U100080,2026-03,4,,8680.52,644.4,16,10310.35,12.0,17,557.79,9482.49,86.6,827.86
A018127,U109762,2026-03,2,,15600.85,843.53,25,21088.13,17.3,21,866.32,18192.75,-22.8,2895.39
A018128,U100057,2026-03,4,,1337.23,287.28,5,1436.41,15.8,12,121.2,1454.42,166.08,-18.01
A018129,U106295,2026-03,3,,2415.04,368.98,7,2582.86,13.0,12,215.7,2588.46,153.28,-5.6
A018130,U112794,2026-03,1,,18048.37,942.63,25,23565.79,22.5,45,597.33,26879.88,345.3,-3314.08
A018131,U112257,2026-03,1,,16311.01,1149.24,17,19537.15,20.3,30,697.77,20933.21,451.47,-1396.07
A018132,U106666,2026-03,2,,14104.16,463.05,44,20374.42,15.9,27,624.79,16869.4,-161.74,3505.02
A018133,U111081,2026-03,1,,6939.85,432.31,20,8646.18,15.5,15,511.9,7678.43,-79.59,967.75
A018134,U111184,2026-03,1,,1645.76,179.09,10,1790.88,9.6,12,144.38,1732.59,34.71,58.29
A018135,U111618,2026-03,1,,22171.25,934.46,32,29902.87,11.2,36,727.96,26206.56,206.5,3696.31
A018136,U111815,2026-03,1,,10250.33,557.9,22,12273.7,9.1,18,611.37,11004.58,-53.47,1269.12
A018137,U106485,2026-03,3,,11490.71,438.69,40,17547.41,23.0,68,303.78,20656.74,134.91,-3109.33
A018138,U104060,2026-03,3,,4155.12,148.8,40,5952.12,10.6,34,142.01,4828.46,6.79,1123.66
A018139,U108147,2026-03,2,,6895.73,388.41,24,9321.72,23.2,16,505.19,8083.09,-116.79,1238.63
A018140,U112014,2026-03,1,,5310.01,434.51,14,6083.16,19.8,40,182.4,7295.82,252.12,-1212.66
A018141,U110033,2026-03,1,Lender C,20117.01,666.88,44,29342.67,8.9,41,570.84,23404.35,96.04,5938.32
A018142,U101808,2026-03,4,,3039.73,290.24,12,3482.86,14.3,12,273.36,3280.3,16.88,202.56
A018143,U103022,2026-03,4,,7096.66,404.33,21,8490.92,11.2,12,627.88,7534.52,-223.55,956.4
A018144,U112778,2026-03,1,,3691.54,145.92,34,4961.36,11.3,38,116.01,4408.5,29.91,552.86
A018145,U108358,2026-03,2,,5135.28,562.51,10,5625.09,15.9,12,465.69,5588.22,96.82,36.87
A018146,U107207,2026-03,2,,6497.45,813.23,9,7319.05,15.7,12,588.6,7063.16,224.63,255.89
A018147,U104500,2026-03,3,,20888.82,852.14,38,32381.18,26.2,68,592.48,40288.39,259.66,-7907.2
A018148,U101739,2026-03,4,,9251.39,519.35,22,11425.66,21.2,40,324.51,12980.24,194.84,-1554.59
A018149,U108887,2026-03,2,,9792.04,536.28,22,11798.12,15.5,14,769.07,10767.0,-232.79,1031.11
A018150,U107970,2026-03,2,,4109.52,427.3,11,4700.32,26.0,28,197.3,5524.39,230.0,-824.07
A018151,U111239,2026-03,1,,8340.42,846.56,11,9312.17,14.0,12,748.86,8986.35,97.7,325.83
A018152,U109666,2026-03,2,,4952.92,553.32,10,5533.17,18.5,12,455.26,5463.16,98.05,70.01
A018153,U110881,2026-03,1,,17900.43,449.4,57,25615.87,8.9,55,397.53,21864.29,51.87,3751.58
A018154,U106078,2026-03,3,,4036.77,191.9,27,5181.37,18.2,16,286.05,4576.75,-94.14,604.62
A018155,U103283,2026-03,4,,5361.84,262.96,25,6573.92,9.8,19,305.81,5810.4,-42.85,763.51
A018156,U107330,2026-03,2,,5069.33,289.1,22,6360.11,22.1,50,156.0,7799.99,133.1,-1439.88
A018157,U105419,2026-03,3,,24134.32,1695.97,18,30527.48,19.5,14,1941.31,27178.33,-245.34,3349.15
A018158,U109846,2026-03,2,,5522.62,674.46,9,6070.1,15.5,12,499.77,5997.2,174.69,72.9
A018159,U112558,2026-03,1,,7539.32,349.38,29,10131.93,15.3,17,496.1,8433.66,-146.72,1698.27
A018160,U112997,2026-03,1,,5683.45,541.56,12,6498.7,11.3,12,503.11,6037.3,38.45,461.41
A018161,U103925,2026-03,3,,5380.15,822.53,7,5757.73,16.7,27,240.41,6491.02,582.12,-733.29
A018162,U103686,2026-03,3,,16865.76,773.73,32,24759.29,27.4,56,536.68,30054.21,237.05,-5294.92
A018163,U109533,2026-03,2,,6672.66,653.36,11,7186.94,9.9,12,586.32,7035.87,67.04,151.07
A018164,U112369,2026-03,1,,2865.48,351.76,9,3165.88,11.8,12,254.33,3051.92,97.44,113.96
A018165,U108245,2026-03,2,,8260.7,299.55,44,13180.25,25.9,58,251.05,14561.0,48.5,-1380.75
A018166,U102418,2026-03,4,,12489.27,515.14,37,19060.34,18.0,38,433.58,16476.01,81.57,2584.33
A018167,U102663,2026-03,4,,9281.37,1418.96,7,9932.74,10.9,12,819.87,9838.44,599.09,94.29
A018168,U107477,2026-03,2,,5102.13,247.32,28,6924.93,17.8,25,245.75,6143.81,1.57,781.12
A018169,U101224,2026-03,4,,6164.66,370.04,21,7770.81,18.6,24,309.56,7429.33,60.48,341.48
A018170,U104443,2026-03,3,,3922.31,480.16,9,4321.45,9.6,12,344.1,4129.25,136.06,192.2
A018171,U106343,2026-03,3,,8936.09,317.04,38,12047.44,10.0,44,243.43,10711.04,73.61,1336.4
A018172,U108845,2026-03,2,,7257.24,551.94,16,8831.03,27.5,30,337.17,10115.22,214.77,-1284.2
A018173,U111505,2026-03,1,,14511.73,493.46,39,19244.8,14.4,69,310.46,21421.47,183.0,-2176.67
A018174,U108862,2026-03,2,,19001.68,958.43,23,22043.81,8.9,12,1660.84,19930.13,-702.42,2113.67
A018175,U109492,2026-03,2,,22333.74,902.87,31,27989.07,9.3,25,986.13,24653.31,-83.26,3335.76
A018176,U112383,2026-03,1,,4651.45,191.5,31,5936.35,15.3,54,119.69,6463.48,71.8,-527.13
A018177,U109352,2026-03,2,,6994.42,550.0,14,7700.07,13.2,29,283.01,8207.32,266.99,-507.25
A018178,U102275,2026-03,4,,8550.79,604.57,17,10277.63,17.2,23,439.05,10098.13,165.52,179.5
A018179,U101568,2026-03,4,,4539.14,167.54,36,6031.31,17.4,54,121.8,6576.99,45.74,-545.68
A018180,U106163,2026-03,3,,11184.81,425.4,37,15739.82,15.5,24,544.97,13079.4,-119.57,2660.42
A018181,U100742,2026-03,4,,1459.05,220.48,7,1543.39,8.9,12,127.53,1530.34,92.96,13.05
A018182,U110272,2026-03,1,,10622.05,1050.65,11,11557.2,8.9,12,928.42,11141.05,122.23,416.15
A018183,U108677,2026-03,2,,8784.78,722.24,14,10111.35,17.2,12,802.05,9624.57,-79.81,486.79
A018184,U100885,2026-03,4,,3073.05,118.51,34,4029.31,8.9,36,97.58,3512.85,20.93,516.46
A018185,U100826,2026-03,4,,2090.67,438.42,5,2192.09,17.8,22,112.08,2465.65,326.34,-273.57
A018186,U106493,2026-03,3,,11401.71,383.3,46,17631.97,16.1,28,491.16,13752.54,-107.86,3879.43
A018187,U105448,2026-03,3,,15416.44,1021.54,18,18387.73,14.5,12,1387.83,16653.92,-366.29,1733.8
A018188,U101389,2026-03,4,,5919.33,414.46,17,7045.87,17.5,12,541.28,6495.32,-126.81,550.55
A018189,U111865,2026-03,1,,4946.83,541.39,10,5413.9,13.1,12,442.07,5304.83,99.32,109.07
A018190,U112219,2026-03,1,,6744.63,385.01,23,8855.16,23.8,36,263.9,9500.52,121.1,-645.35
A018191,U111224,2026-03,1,,5576.43,328.91,21,6907.13,15.2,12,503.85,6046.14,-174.93,860.98
A018192,U101845,2026-03,4,,22738.38,1232.08,22,27105.85,8.9,16,1512.39,24198.32,-280.31,2907.53
A018193,U110265,2026-03,1,,6033.76,420.98,18,7577.59,19.4,17,408.78,6949.18,12.2,628.41
A018194,U111475,2026-03,1,,5194.56,261.84,26,6807.82,22.2,46,168.69,7759.76,93.15,-951.94
A018195,U106926,2026-03,2,,14498.69,608.72,30,18261.53,11.3,29,573.66,16636.1,35.06,1625.44
A018196,U111137,2026-03,1,,6708.52,398.17,20,7963.3,15.4,12,606.77,7281.2,-208.6,682.1
A018197,U103360,2026-03,3,,3372.57,470.53,8,3764.24,25.6,32,146.51,4688.21,324.02,-923.97
A018198,U103975,2026-03,3,,6565.97,501.18,15,7517.65,14.1,19,387.6,7364.49,113.57,153.16
A018199,U112302,2026-03,1,,18437.35,744.91,33,24581.9,18.0,55,494.68,27207.25,250.23,-2625.35
A018200,U100500,2026-03,4,,3410.61,229.84,18,4137.03,16.6,22,180.87,3979.23,48.96,157.8
A018201,U107775,2026-03,2,,17441.25,826.52,27,22315.91,17.8,13,1485.04,19305.53,-658.53,3010.37
A018202,U110802,2026-03,1,,8308.49,409.59,26,10649.32,17.5,18,528.15,9506.73,-118.56,1142.59
A018203,U106417,2026-03,3,,19299.66,725.14,36,26104.89,16.7,52,523.97,27246.25,201.17,-1141.36
A018204,U112970,2026-03,1,,5305.56,477.59,13,6208.67,23.0,37,201.51,7455.97,276.08,-1247.3
A018205,U106606,2026-03,2,,8920.11,288.79,53,15305.79,19.9,36,331.05,11917.76,-42.26,3388.04
A018206,U105388,2026-03,3,,9260.76,378.5,31,11733.39,8.9,32,326.16,10437.27,52.33,1296.12
A018207,U105367,2026-03,3,,15013.71,534.5,40,21380.09,19.0,62,381.92,23679.23,152.58,-2299.14
A018208,U110859,2026-03,1,,9637.09,429.96,29,12468.8,16.6,21,531.93,11170.6,-101.97,1298.2
A018209,U100227,2026-03,4,,2572.74,215.14,14,3011.95,23.1,34,103.81,3529.69,111.33,-517.74
A018210,U112627,2026-03,1,,12171.86,718.31,20,14366.24,12.7,19,710.56,13500.7,7.75,865.54
A018211,U103404,2026-03,3,,9749.6,354.01,46,16284.44,25.0,58,291.18,16888.19,62.83,-603.75
A018212,U102304,2026-03,4,,2616.47,554.97,5,2774.85,20.3,23,138.27,3180.2,416.7,-405.34
A018213,U104714,2026-03,3,,1581.97,281.71,6,1690.24,8.9,12,138.27,1659.26,143.44,30.98
A018214,U102941,2026-03,4,,3743.98,416.99,10,4169.86,10.7,13,306.29,3981.81,110.69,188.05
A018215,U109483,2026-03,2,,5198.8,170.86,43,7347.16,9.5,49,128.42,6292.48,42.45,1054.68
A018216,U112496,2026-03,1,,13087.64,1064.65,14,14905.08,17.0,44,401.76,17677.23,662.89,-2772.15
A018217,U106738,2026-03,2,,6503.64,275.58,31,8542.91,18.7,54,179.02,9667.05,96.56,-1124.14
A018218,U106779,2026-03,2,,8506.89,535.01,20,10700.23,22.5,35,333.66,11678.08,201.35,-977.85
A018219,U109181,2026-03,2,,17466.1,953.29,21,20019.04,8.9,15,1234.69,18520.28,-281.4,1498.76
A018220,U103780,2026-03,3,,9980.91,715.83,16,11453.23,10.7,12,880.73,10568.8,-164.91,884.43
A018221,U103127,2026-03,4,,3554.96,397.66,10,3976.62,13.4,12,318.19,3818.25,79.48,158.38
A018222,U101264,2026-03,4,,8073.62,305.72,39,11922.96,23.1,58,232.28,13472.45,73.43,-1549.49
A018223,U109673,2026-03,2,,4187.15,644.48,7,4511.36,14.9,12,377.73,4532.73,266.75,-21.37
A018224,U111102,2026-03,1,,17934.6,1468.43,14,20558.05,9.0,19,1016.31,19309.84,452.12,1248.21
A018225,U110248,2026-03,1,Lender B,12670.74,883.49,17,15019.25,15.2,19,754.54,14336.25,128.95,683.0
A018226,U109024,2026-03,2,,5148.86,253.58,24,6085.99,8.9,26,218.47,5680.25,35.11,405.73
A018227,U112456,2026-03,1,,22621.33,762.0,44,33528.21,8.9,41,641.9,26317.9,120.1,7210.3
A018228,U109818,2026-03,2,,10531.7,772.87,15,11593.12,8.9,12,920.52,11046.3,-147.65,546.82
A018229,U110286,2026-03,1,,8451.97,363.38,33,11991.46,14.9,31,330.14,10234.45,33.23,1757.01
A018230,U109689,2026-03,2,,6975.22,500.72,17,8512.29,22.9,12,655.87,7870.4,-155.14,641.89
A018231,U101145,2026-03,4,,18674.2,571.54,43,24576.2,9.4,49,460.39,22558.96,111.15,2017.25
A018232,U111527,2026-03,1,,6949.79,263.6,37,9753.18,15.0,35,246.38,8623.23,17.22,1129.95
A018233,U102024,2026-03,4,,5261.02,202.77,33,6691.44,13.0,17,340.51,5788.7,-137.74,902.75
A018234,U111035,2026-03,1,,18600.25,919.24,29,26658.0,24.4,21,1097.09,23038.82,-177.85,3619.18
A018235,U111105,2026-03,1,Lender E,13012.19,708.93,24,17014.22,20.1,27,603.05,16282.46,105.87,731.76
A018236,U111966,2026-03,1,,16641.37,518.9,48,24907.14,16.5,75,357.01,26776.01,161.89,-1868.87
A018237,U108038,2026-03,2,,4866.37,491.6,11,5407.56,13.0,15,353.25,5298.72,138.35,108.83
A018238,U107878,2026-03,2,,10767.23,646.9,20,12937.92,20.5,33,429.55,14175.25,217.34,-1237.33
A018239,U109331,2026-03,2,,1253.8,194.41,7,1360.87,18.5,12,115.25,1382.96,79.16,-22.09
A018240,U109681,2026-03,2,,2622.18,312.25,9,2810.27,10.8,12,231.51,2778.1,80.74,32.17
A018241,U105061,2026-03,3,,16120.7,793.1,26,20620.56,12.3,30,626.93,18807.92,166.17,1812.65
A018242,U109261,2026-03,2,,28505.72,1050.92,43,45189.77,22.4,33,1164.8,38438.3,-113.87,6751.47
A018243,U100482,2026-03,4,,5425.43,582.34,10,5823.45,12.0,34,189.02,6426.74,393.32,-603.3
A018244,U108436,2026-03,2,,20562.68,767.62,39,29937.32,23.2,63,567.34,35742.29,200.29,-5804.98
A018245,U108765,2026-03,2,,12040.39,445.13,34,15134.28,8.9,23,571.35,13141.01,-126.22,1993.27
A018246,U106489,2026-03,3,,5335.44,363.51,17,6179.69,17.4,39,180.08,7023.05,183.43,-843.36
A018247,U110679,2026-03,1,Lender G,10551.17,529.89,29,15366.85,20.0,24,537.01,12888.25,-7.12,2478.6
A018248,U106985,2026-03,2,,10036.02,318.76,56,17850.71,24.1,72,264.83,19067.49,53.94,-1216.77
A018249,U101475,2026-03,4,,10647.73,592.8,21,12448.81,8.9,26,451.79,11746.64,141.01,702.17
A018250,U104584,2026-03,3,,3394.46,327.59,12,3931.03,24.0,30,151.56,4546.87,176.02,-615.84
A018251,U101451,2026-03,4,,3117.53,212.7,19,4041.31,23.1,23,169.04,3887.87,43.66,153.44
A018252,U101158,2026-03,4,,2827.92,318.26,10,3182.64,22.6,29,127.45,3696.03,190.81,-513.39
A018253,U106300,2026-03,3,,2463.6,275.7,10,2757.01,24.1,24,130.38,3129.03,145.32,-372.02
A018254,U106036,2026-03,3,,1487.62,264.09,6,1584.52,20.4,30,63.71,1911.41,200.37,-326.89
A018255,U111997,2026-03,1,,9449.04,332.34,41,13625.97,16.4,30,386.05,11581.63,-53.71,2044.34
A018256,U101627,2026-03,4,,1052.6,221.43,5,1107.16,11.0,12,93.03,1116.37,128.4,-9.21
A018257,U109741,2026-03,2,,6653.07,186.14,58,10795.86,16.1,42,208.24,8746.08,-22.1,2049.78
A018258,U108166,2026-03,2,,2709.72,418.82,7,2931.73,16.9,12,247.01,2964.13,171.81,-32.4
A018259,U112465,2026-03,1,,5448.79,336.15,19,6386.92,18.6,37,194.61,7200.75,141.54,-813.83
A018260,U105628,2026-03,3,,7372.5,283.89,40,11355.48,20.6,34,288.04,9793.52,-4.16,1561.96
A018261,U106339,2026-03,3,,12352.6,1055.99,14,14783.84,24.1,12,1168.65,14023.86,-112.67,759.98
A018262,U105901,2026-03,3,,3883.11,402.62,11,4428.84,17.2,12,354.53,4254.33,48.09,174.51
A018263,U112334,2026-03,1,,4107.21,239.22,21,5023.57,20.2,39,144.49,5635.14,94.73,-611.57
A018264,U109194,2026-03,2,,1430.73,224.26,7,1569.84,18.7,12,131.65,1579.76,92.62,-9.92
A018265,U108618,2026-03,2,,23115.08,1033.27,30,30998.08,19.5,52,661.87,34417.13,371.4,-3419.05
A018266,U106592,2026-03,3,,25914.49,949.54,39,37032.04,15.3,45,760.36,34216.17,189.18,2815.88
A018267,U108928,2026-03,2,,22373.09,577.77,55,31777.13,8.9,55,496.86,27327.37,80.9,4449.76
A018268,U108768,2026-03,2,,20101.9,669.18,46,30782.08,18.7,29,866.85,25138.66,-197.67,5643.42
A018269,U111469,2026-03,1,,23904.86,872.78,41,35784.01,17.3,47,703.76,33076.82,169.02,2707.19
A018270,U106746,2026-03,2,,7038.58,261.5,45,11767.69,25.5,28,336.12,9411.38,-74.62,2356.3
A018271,U111175,2026-03,1,,8703.88,406.66,30,12199.94,17.6,26,405.06,10531.55,1.61,1668.39
A018272,U101744,2026-03,4,,14579.36,671.88,29,19484.63,21.5,52,433.3,22531.81,238.58,-3047.18
A018273,U107507,2026-03,2,,4909.16,298.37,21,6265.68,22.0,12,459.47,5513.64,-161.1,752.04
A018274,U112955,2026-03,1,,14907.36,479.4,50,23970.01,12.1,47,399.82,18791.41,79.58,5178.59
A018275,U103007,2026-03,4,,3048.28,474.02,7,3318.12,24.9,23,168.01,3864.24,306.01,-546.12
A018276,U107411,2026-03,2,,6896.67,211.59,51,10791.06,19.2,64,172.98,11070.62,38.61,-279.56
A018277,U100970,2026-03,4,,11534.66,901.4,16,14422.44,26.5,14,966.81,13535.36,-65.41,887.08
A018278,U112463,2026-03,1,,4407.2,317.03,17,5389.49,18.2,20,257.12,5142.45,59.91,247.04
A018279,U111084,2026-03,1,,4737.0,240.5,25,6012.51,14.7,12,426.88,5122.61,-186.38,889.9
A018280,U100928,2026-03,4,,13942.77,956.65,17,16263.04,14.4,21,755.06,15856.31,201.59,406.73
A018281,U110304,2026-03,1,,6168.8,527.59,13,6858.69,14.1,31,238.58,7396.12,289.01,-537.43
A018282,U113000,2026-03,1,,6850.7,342.89,26,8915.19,19.5,16,489.69,7835.04,-146.8,1080.15
A018283,U111385,2026-03,1,,3526.4,306.15,13,3979.96,17.4,26,163.77,4258.01,142.38,-278.04
A018284,U107947,2026-03,2,,11268.2,538.68,28,15083.01,22.3,56,325.46,18225.99,213.21,-3142.98
A018285,U101143,2026-03,4,,1744.25,369.97,5,1849.84,14.0,12,156.61,1879.34,213.36,-29.5
A018286,U103034,2026-03,4,,8794.9,614.04,16,9824.64,8.9,22,434.75,9564.43,179.29,260.21
A018287,U106559,2026-03,3,,14359.49,558.1,36,20091.58,18.7,30,602.87,18086.2,-44.77,2005.38
A018288,U109315,2026-03,2,,4704.24,330.3,17,5615.14,16.8,12,428.6,5143.23,-98.3,471.91
A018289,U106999,2026-03,2,,22420.53,1131.61,25,28290.15,17.7,12,2052.31,24627.77,-920.71,3662.39
A018290,U112300,2026-03,1,,12014.71,710.44,21,14919.23,20.1,42,400.68,16828.7,309.76,-1909.47
A018291,U112275,2026-03,1,,8341.41,597.04,16,9552.71,10.9,12,736.84,8842.06,-139.79,710.65
A018292,U104715,2026-03,3,,10629.14,691.45,18,12446.04,8.9,15,751.38,11270.67,-59.93,1175.37
A018293,U104284,2026-03,3,,4994.08,279.13,22,6140.75,12.8,12,445.59,5347.07,-166.46,793.68
A018294,U111041,2026-03,1,,5042.25,381.49,15,5722.37,12.7,19,294.35,5592.73,87.14,129.64
A018295,U101914,2026-03,4,,3273.54,195.4,20,3908.03,9.3,23,155.94,3586.59,39.46,321.44
A018296,U104536,2026-03,3,,2747.7,369.05,8,2952.41,10.1,12,241.69,2900.34,127.36,52.07
A018297,U108463,2026-03,2,,11222.04,614.6,23,14135.9,14.9,18,699.56,12592.02,-84.95,1543.88
A018298,U111461,2026-03,1,,23285.09,973.65,34,33104.02,24.0,58,681.94,39552.68,291.7,-6448.66
A018299,U107144,2026-03,2,,7984.14,353.44,31,10956.49,13.5,28,334.0,9352.02,19.43,1604.47
A018300,U101235,2026-03,4,Lender C,11065.42,504.13,27,13611.59,16.4,41,354.32,14527.1,149.81,-915.52
A018301,U109618,2026-03,2,,3392.5,245.75,16,3932.06,14.8,12,305.88,3670.58,-60.13,261.48
A018302,U109602,2026-03,2,,7161.72,655.24,13,8518.14,20.7,18,466.23,8392.13,189.01,126.01
A018303,U110046,2026-03,1,,9202.96,365.0,39,14235.06,21.5,32,380.37,12171.87,-15.37,2063.2
A018304,U108811,2026-03,2,,20241.1,660.0,53,34980.18,17.4,51,564.3,28779.32,95.7,6200.86
A018305,U102164,2026-03,4,,3452.77,353.63,11,3889.97,16.8,12,314.58,3774.98,39.05,114.99
A018306,U105374,2026-03,3,,17795.45,698.17,36,25133.99,14.0,35,622.21,21777.46,75.95,3356.53
A018307,U100756,2026-03,4,,9485.71,441.49,27,11920.32,17.0,43,296.08,12731.44,145.41,-811.12
A018308,U112731,2026-03,1,,9680.87,908.41,12,10900.87,14.6,12,871.95,10463.43,36.45,437.44
A018309,U106755,2026-03,2,,7499.43,514.19,17,8741.3,8.9,18,446.6,8038.89,67.59,702.41
A018310,U101495,2026-03,4,,8856.0,365.84,36,13170.15,26.8,61,267.25,16302.27,98.59,-3132.12
A018311,U106758,2026-03,2,,11066.19,1222.31,10,12223.12,13.1,12,988.92,11867.05,233.39,356.06
A018312,U108951,2026-03,2,,5780.95,316.32,22,6959.1,8.9,26,245.29,6377.57,71.03,581.52
A018313,U109883,2026-03,2,Lender E,16690.34,562.22,44,24737.59,13.9,45,478.02,21510.8,84.2,3226.79
A018314,U109848,2026-03,2,,2081.31,122.14,21,2565.02,19.5,48,62.78,3013.53,59.36,-448.51
A018315,U100135,2026-03,4,,11253.47,323.69,57,18450.42,13.6,63,250.89,15806.06,72.8,2644.36
A018316,U106494,2026-03,3,,2315.13,200.99,13,2612.9,17.7,38,80.02,3040.84,120.97,-427.94
A018317,U112118,2026-03,1,,7380.38,514.93,16,8238.92,8.9,12,645.08,7740.99,-130.15,497.93
A018318,U104121,2026-03,3,,10631.72,470.93,28,13186.08,8.9,30,396.58,11897.54,74.35,1288.54
A018319,U108199,2026-03,2,,2130.92,328.83,7,2301.81,13.2,12,190.53,2286.33,138.3,15.48
A018320,U105697,2026-03,3,,6354.24,388.05,19,7372.97,8.9,25,279.4,6984.99,108.65,387.98
A018321,U106069,2026-03,3,,2591.17,316.45,9,2848.04,14.1,12,232.78,2793.31,83.67,54.73
A018322,U105870,2026-03,3,,13990.58,1027.69,16,16443.03,15.6,12,1266.73,15200.77,-239.04,1242.26
A018323,U107498,2026-03,2,,12937.32,835.38,18,15036.78,9.8,15,919.91,13798.59,-84.53,1238.18
A018324,U106443,2026-03,3,,24412.48,1017.69,32,32566.14,20.3,56,677.97,37966.15,339.72,-5400.01
A018325,U103656,2026-03,3,,10062.18,602.48,21,12652.17,25.0,36,400.07,14402.54,202.41,-1750.37
A018326,U101830,2026-03,4,,11353.8,563.0,24,13511.9,14.8,48,314.83,15112.08,248.16,-1600.18
A018327,U109855,2026-03,2,,1494.45,205.25,8,1642.04,24.3,36,58.87,2119.22,146.39,-477.18
A018328,U104234,2026-03,3,,6689.35,403.2,20,8064.01,20.8,37,246.43,9118.01,156.77,-1053.99
A018329,U111721,2026-03,1,,7469.35,762.84,11,8391.25,22.0,37,279.8,10352.67,483.04,-1961.42
A018330,U104889,2026-03,3,,8344.49,477.95,22,10514.9,18.2,12,765.82,9189.8,-287.87,1325.1
A018331,U106321,2026-03,3,,6665.25,386.9,21,8124.86,16.1,12,605.06,7260.71,-218.16,864.15
A018332,U112240,2026-03,1,,12056.89,957.21,14,13400.94,13.2,12,1078.02,12936.24,-120.81,464.7
A018333,U110022,2026-03,1,,8859.97,312.56,41,12815.04,19.6,60,232.77,13966.05,79.79,-1151.01
A018334,U107034,2026-03,2,,5936.58,292.66,26,7609.14,19.2,49,175.71,8609.76,116.95,-1000.62
A018335,U107949,2026-03,2,,2387.37,361.59,7,2531.11,11.3,13,195.98,2547.69,165.61,-16.58
A018336,U103968,2026-03,3,,11792.22,329.51,61,20100.16,14.8,63,270.32,17029.94,59.19,3070.22
A018337,U106053,2026-03,3,,8506.28,532.59,19,10119.2,20.2,44,275.23,12110.04,257.36,-1990.84
A018338,U112280,2026-03,1,,7952.96,306.52,33,10115.3,16.4,57,201.76,11500.38,104.76,-1385.08
A018339,U100490,2026-03,4,,12616.32,664.88,23,15292.14,15.7,42,392.35,16478.84,272.52,-1186.71
A018340,U112184,2026-03,1,,2529.11,98.46,37,3642.95,17.5,39,85.49,3334.05,12.97,308.9
A018341,U101999,2026-03,4,,4055.99,256.71,19,4877.57,19.8,32,164.16,5253.18,92.55,-375.61
A018342,U110358,2026-03,1,,18384.89,1054.87,22,23207.17,23.4,46,609.01,28014.28,445.87,-4807.11
A018343,U102706,2026-03,4,,8125.09,894.31,10,8943.14,19.1,40,276.16,11046.57,618.15,-2103.42
A018344,U112703,2026-03,1,,10817.55,302.52,53,16033.73,16.7,78,228.19,17798.88,74.33,-1765.14
A018345,U104147,2026-03,3,,4996.99,632.34,9,5691.06,29.7,30,237.95,7138.48,394.39,-1447.41
A018346,U100803,2026-03,4,,8812.23,443.46,25,11086.42,14.8,15,647.1,9706.55,-203.65,1379.87
A018347,U104040,2026-03,3,,5063.43,299.15,21,6282.23,15.2,20,288.18,5763.68,10.97,518.55
A018348,U108033,2026-03,2,,18702.31,625.98,44,27542.99,17.6,70,429.18,30042.92,196.79,-2499.92
A018349,U112692,2026-03,1,,18649.06,629.33,45,28319.96,19.6,63,476.2,30000.47,153.13,-1680.51
A018350,U108631,2026-03,2,,13640.2,603.83,33,19926.33,24.1,15,1062.22,15933.25,-458.39,3993.08
A018351,U111723,2026-03,1,,7610.79,791.73,11,8709.02,23.7,40,277.0,11079.98,514.73,-2370.96
A018352,U103310,2026-03,3,,2946.93,324.79,10,3247.9,20.5,40,102.29,4091.74,222.5,-843.84
A018353,U112556,2026-03,1,,15674.89,966.92,21,20305.31,24.8,40,579.73,23189.11,387.19,-2883.8
A018354,U109016,2026-03,2,,17292.78,598.43,44,26330.89,10.0,49,431.31,21133.97,167.12,5196.91
A018355,U110064,2026-03,1,,6326.11,318.48,23,7325.09,12.3,46,173.17,7966.03,145.31,-640.94
A018356,U104045,2026-03,3,,21711.18,1146.07,25,28651.66,18.5,23,1128.37,25952.6,17.69,2699.06
A018357,U100879,2026-03,4,,1967.46,309.67,7,2167.69,22.6,12,184.71,2216.55,124.96,-48.86
